SNR,Wiener_Balance,Wiener_PSF,Angle,k0[pxl],Phas offs.,Pha#0,Pha#1,Pha#2,TV_Weight,Angle,k0[pxl],Phas offs.,Pha#0,Pha#1,Pha#2,RL_Iterations,RL_PSF,Angle,k0[pxl],Phas offs.,Pha#0,Pha#1,Pha#2,BM3D_Sigma,BM3D_Stage,,Angle,k0[pxl],Phas offs.,Pha#0,Pha#1,Pha#2
2,5,17,-0.174411102,64.09460793,-1.707072263,0,2.094395102,-2.094395102,0.4,-0.174471287,64.07272296,-1.650583397,0,2.094395102,-2.094395102,3,17,-0.174471287,64.07272296,-1.632234186,0,2.094395102,-2.094395102,0.3,HARD_THRESHOLDING,,-0.174531512,64.05083822,-1.599386538,0,2.094395102,-2.094395102
,,,-2.26808658,64.10827454,-1.7424799,0,2.094395102,-2.094395102,,-2.26808658,64.10827454,-1.786146053,0,2.094395102,-2.094395102,,,-2.266931467,64.1621884,-2.126602536,0,2.094395102,-2.094395102,,,,-2.264582328,64.23897705,-2.753934447,0,2.094395102,-2.094395102
,,,0.095749098,52.18346789,0.177856883,0,2.094395102,-2.094395102,,1.913235814,65.220123,-0.72743174,0,2.094395102,-2.094395102,,,0.096213886,52.1634776,0.332527264,0,2.094395102,-2.094395102,,,,-0.056573547,55.61119214,-1.314670528,0,2.094395102,-2.094395102
5,5,9,-0.174471287,64.07272296,-1.634293499,0,2.094395102,-2.094395102,0.2,-0.174471287,64.07272296,-1.631122638,0,2.094395102,-2.094395102,3,17,-0.174471287,64.07272296,-1.618532427,0,2.094395102,-2.094395102,0.2,HARD_THRESHOLDING,,-0.174471287,64.07272296,-1.6270894,0,2.094395102,-2.094395102
,,,-2.268043423,64.07696953,-1.683070978,0,2.094395102,-2.094395102,,-2.267197167,64.17644081,-2.085521317,0,2.094395102,-2.094395102,,,-2.266931467,64.1621884,-2.126958285,0,2.094395102,-2.094395102,,,,-2.266088055,64.26171988,-2.447053766,0,2.094395102,-2.094395102
,,,1.918663212,64.04742263,-1.765133104,0,2.094395102,-2.094395102,,1.918544972,64.06831423,-1.700173483,0,2.094395102,-2.094395102,,,1.91792714,64.24303584,-0.998695006,0,2.094395102,-2.094395102,,,,0.001931934,74.7668062,2.007818614,0,2.094395102,-2.094395102
10,5,9,-0.174471287,64.07272296,-1.631856107,0,2.094395102,-2.094395102,0.2,-0.174471287,64.07272296,-1.628210084,0,2.094395102,-2.094395102,2,17,-0.174471287,64.07272296,-1.626467565,0,2.094395102,-2.094395102,0.2,HARD_THRESHOLDING,,-0.174471287,64.07272296,-1.62636147,0,2.094395102,-2.094395102
,,,-2.267419343,64.15939449,-1.952539665,0,2.094395102,-2.094395102,,-2.266443633,64.16499757,-2.19380702,0,2.094395102,-2.094395102,,,-2.266443633,64.16499757,-2.196329283,0,2.094395102,-2.094395102,,,,-2.265601014,64.26455544,-2.496273137,0,2.094395102,-2.094395102
,,,1.919522896,64.09106369,-1.465365186,0,2.094395102,-2.094395102,,1.919404457,64.11194877,-1.391018838,0,2.094395102,-2.094395102,,,1.918577539,64.25816949,-0.903644142,0,2.094395102,-2.094395102,,,,0.092036863,51.13866166,-0.178133039,0,2.094395102,-2.094395102
20,2,9,-0.174471287,64.07272296,-1.614610235,0,2.094395102,-2.094395102,0.1,-0.174471287,64.07272296,-1.614993771,0,2.094395102,-2.094395102,1,9,-0.174471287,64.07272296,-1.618291652,0,2.094395102,-2.094395102,0.1,HARD_THRESHOLDING,,-0.174471287,64.07272296,-1.618075484,0,2.094395102,-2.094395102
,,,-2.266931467,64.1621884,-2.114850317,0,2.094395102,-2.094395102,,-2.266931467,64.1621884,-2.108627317,0,2.094395102,-2.094395102,,,-2.266931467,64.1621884,-2.108518408,0,2.094395102,-2.094395102,,,,-2.266487511,64.19629811,-2.310623932,0,2.094395102,-2.094395102
,,,1.919641412,64.0701795,-1.493719904,0,2.094395102,-2.094395102,,1.919641412,64.0701795,-1.486783178,0,2.094395102,-2.094395102,,,1.919641412,64.0701795,-1.491485875,0,2.094395102,-2.094395102,,,,1.986172727,54.27047261,3.030649129,0,2.094395102,-2.094395102
50,2,3,-0.174411102,64.09460793,-1.661751621,0,2.094395102,-2.094395102,0.06,-0.174471287,64.07272296,-1.618000946,0,2.094395102,-2.094395102,2,9,-0.174471287,64.07272296,-1.61523837,0,2.094395102,-2.094395102,0.1,HARD_THRESHOLDING,,-0.174471287,64.07272296,-1.619677056,0,2.094395102,-2.094395102
,,,-2.266931467,64.1621884,-2.110917841,0,2.094395102,-2.094395102,,-2.266931467,64.1621884,-2.110387589,0,2.094395102,-2.094395102,,,-2.266931467,64.1621884,-2.113447649,0,2.094395102,-2.094395102,,,,-1.938000325,52.8927753,1.529618145,0,2.094395102,-2.094395102
,,,1.92008601,64.05689793,-1.55520971,0,2.094395102,-2.094395102,,1.919967324,64.07777874,-1.486308045,0,2.094395102,-2.094395102,,,1.919848716,64.09866045,-1.414225374,0,2.094395102,-2.094395102,,,,1.968015761,56.66768844,-1.35092313,0,2.094395102,-2.094395102
100,1,3,-0.174471287,64.07272296,-1.617687284,0,2.094395102,-2.094395102,0.04,-0.174471287,64.07272296,-1.616637808,0,2.094395102,-2.094395102,2,9,-0.174471287,64.07272296,-1.614555797,0,2.094395102,-2.094395102,0.1,HARD_THRESHOLDING,,-0.174471287,64.07272296,-1.620447327,0,2.094395102,-2.094395102
,,,-2.266931467,64.1621884,-2.115432467,0,2.094395102,-2.094395102,,-2.26670943,64.17924167,-2.176718092,0,2.094395102,-2.094395102,,,-2.26670943,64.17924167,-2.184257699,0,2.094395102,-2.094395102,,,,-1.937457495,52.90554593,1.59424661,0,2.094395102,-2.094395102
,,,1.919967324,64.07777874,-1.513459196,0,2.094395102,-2.094395102,,1.919967324,64.07777874,-1.514238746,0,2.094395102,-2.094395102,,,1.919848716,64.09866045,-1.443501268,0,2.094395102,-2.094395102,,,,1.986216867,54.32010518,-3.071842241,0,2.094395102,-2.094395102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NA,Wavelength,a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.2,480nm,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parameter estimation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Band to shift vector est.,Region to exclude from fit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reconstruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Output,Filter type,APO cut off,APO bend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
raw values,Wiener 0.05,2,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
