Noise,SNR,MSNR,Angle,k0[pxl],Phas offs.,Pha#0,Pha#1,Pha#2,,OTF,,,
A,2,1.7266561,-0.523561245,61.49288627,-1.53239842,0,2.094395102,-2.094395102,,NA,Wavelength,a,
,,,-2.618031409,61.49288627,-1.58815817,0,2.094395102,-2.094395102,,1.2,480nm,0.3,
,,,1.570615658,61.500001,-1.591988472,0,2.094395102,-2.094395102,,,,,
,5,4.443398,-0.523874158,61.50399967,-1.599893544,0,2.094395102,-2.094395102,,Parameter estimation,,,
,,,-2.618031409,61.49288627,-1.583355572,0,2.094395102,-2.094395102,,Band to shift vector est.,Region to exclude from fit,,
,,,1.570976995,61.500001,-1.545710253,0,2.094395102,-2.094395102,,1,0.4,,
,10,8.889903,-0.523561245,61.49288627,-1.524050594,0,2.094395102,-2.094395102,,,,,
,,,-2.618031409,61.49288627,-1.580849021,0,2.094395102,-2.094395102,,Reconstruction,,,
,,,1.570615658,61.500001,-1.594979083,0,2.094395102,-2.094395102,,Output,Filter type,APO cut off,APO bend
,20,17.541658,-0.523561245,61.49288627,-1.524700407,0,2.094395102,-2.094395102,,raw values,Wiener 0.05,2,0.9
,,,-2.618031409,61.49288627,-1.581354265,0,2.094395102,-2.094395102,,,,,
,,,1.570615658,61.500001,-1.596422162,0,2.094395102,-2.094395102,,,,,
,50,43.562084,-0.523561245,61.49288627,-1.52438696,0,2.094395102,-2.094395102,,,,,
,,,-2.618031409,61.49288627,-1.580725739,0,2.094395102,-2.094395102,,,,,
,,,1.570615658,61.500001,-1.596223878,0,2.094395102,-2.094395102,,,,,
,100,86.14944,-0.523561245,61.49288627,-1.526578133,0,2.094395102,-2.094395102,,,,,
,,,-2.618031409,61.49288627,-1.580214811,0,2.094395102,-2.094395102,,,,,
,,,1.570615658,61.500001,-1.594018091,0,2.094395102,-2.094395102,,,,,
B,2,1.7381563,-0.523561245,61.49288627,-1.523068049,0,2.094395102,-2.094395102,,,,,
,,,-2.618031409,61.49288627,-1.58510384,0,2.094395102,-2.094395102,,,,,
,,,1.570976995,61.500001,-1.541934899,0,2.094395102,-2.094395102,,,,,
,5,4.467649,-0.523561245,61.49288627,-1.521193171,0,2.094395102,-2.094395102,,,,,
,,,-2.618031409,61.49288627,-1.58071963,0,2.094395102,-2.094395102,,,,,
,,,1.570976995,61.500001,-1.54632698,0,2.094395102,-2.094395102,,,,,
,10,9.033994,-0.523561245,61.49288627,-1.527957088,0,2.094395102,-2.094395102,,,,,
,,,-2.618031409,61.49288627,-1.580340218,0,2.094395102,-2.094395102,,,,,
,,,1.570976995,61.500001,-1.547084931,0,2.094395102,-2.094395102,,,,,
,20,17.916811,-0.523561245,61.49288627,-1.52540934,0,2.094395102,-2.094395102,,,,,
,,,-2.618031409,61.49288627,-1.57804266,0,2.094395102,-2.094395102,,,,,
,,,1.570976995,61.500001,-1.548663911,0,2.094395102,-2.094395102,,,,,
,50,43.556595,-0.523561245,61.49288627,-1.525652041,0,2.094395102,-2.094395102,,,,,
,,,-2.618031409,61.49288627,-1.580915459,0,2.094395102,-2.094395102,,,,,
,,,1.570615658,61.500001,-1.594267643,0,2.094395102,-2.094395102,,,,,
,100,87.21263,-0.523561245,61.49288627,-1.525702391,0,2.094395102,-2.094395102,,,,,
,,,-2.618031409,61.49288627,-1.579484783,0,2.094395102,-2.094395102,,,,,
,,,1.570615658,61.500001,-1.595234943,0,2.094395102,-2.094395102,,,,,
