Noise,SNR,MSNR,,MCNR,Wiener SIMcheck,Angle,k0[pxl],Phas offs.,Pha#0,Pha#1,Pha#2
A,2,1.7266561,,2.23,0.034185284,-0.523609669,61.4432851,-1.569616156,0,2.094395102,-2.094395102
,,,,,,-2.617982984,61.4432851,-1.599650697,0,2.094395102,-2.094395102
,,,,,,1.570615528,61.45555656,-1.541756578,0,2.094395102,-2.094395102
,5,4.443398,,2.59,0.025342496,-0.523609669,61.4432851,-1.569297474,0,2.094395102,-2.094395102
,,,,,,-2.617982984,61.4432851,-1.586899293,0,2.094395102,-2.094395102
,,,,,,1.570615462,61.43333434,-1.617806722,0,2.094395102,-2.094395102
,10,8.889903,,2.92,0.019938075,-0.523609669,61.4432851,-1.570772515,0,2.094395102,-2.094395102
,,,,,,-2.617982984,61.4432851,-1.588475514,0,2.094395102,-2.094395102
,,,,,,1.570977191,61.43333434,-1.571326355,0,2.094395102,-2.094395102
,20,17.541658,,3.29,0.015705694,-0.523609669,61.4432851,-1.56983228,0,2.094395102,-2.094395102
,,,,,,-2.617982984,61.4432851,-1.585010492,0,2.094395102,-2.094395102
,,,,,,1.570977191,61.43333434,-1.565524812,0,2.094395102,-2.094395102
,50,43.562084,,3.6,0.013117284,-0.523609669,61.4432851,-1.569174604,0,2.094395102,-2.094395102
,,,,,,-2.617982984,61.4432851,-1.585085042,0,2.094395102,-2.094395102
,,,,,,1.570615462,61.43333434,-1.616042602,0,2.094395102,-2.094395102
,100,86.14944,,3.73,0.012218876,-0.523609669,61.4432851,-1.569060063,0,2.094395102,-2.094395102
,,,,,,-2.617982984,61.4432851,-1.586226545,0,2.094395102,-2.094395102
,,,,,,1.570977191,61.43333434,-1.568881372,0,2.094395102,-2.094395102
B,2,1.7381563,,2.23,0.034185284,-0.523609669,61.4432851,-1.567250386,0,2.094395102,-2.094395102
,,,,,,-2.617982984,61.4432851,-1.585817189,0,2.094395102,-2.094395102
,,,,,,1.570977126,61.45555656,-1.490666355,0,2.094395102,-2.094395102
,5,4.467649,,2.6,0.025147929,-0.523609669,61.4432851,-1.567165601,0,2.094395102,-2.094395102
,,,,,,-2.617982984,61.4432851,-1.58849043,0,2.094395102,-2.094395102
,,,,,,1.570977191,61.43333434,-1.574611652,0,2.094395102,-2.094395102
,10,9.033994,,2.92,0.019938075,-0.523609669,61.4432851,-1.573407891,0,2.094395102,-2.094395102
,,,,,,-2.617982984,61.4432851,-1.587787961,0,2.094395102,-2.094395102
,,,,,,1.570615462,61.43333434,-1.618136188,0,2.094395102,-2.094395102
,20,17.916811,,3.28,0.015801606,-0.523609669,61.4432851,-1.569406897,0,2.094395102,-2.094395102
,,,,,,-2.617982984,61.4432851,-1.585613608,0,2.094395102,-2.094395102
,,,,,,1.570615462,61.43333434,-1.612020154,0,2.094395102,-2.094395102
,50,43.556595,,3.61,0.013044713,-0.523609669,61.4432851,-1.569672612,0,2.094395102,-2.094395102
,,,,,,-2.617982984,61.4432851,-1.587688109,0,2.094395102,-2.094395102
,,,,,,1.570615462,61.43333434,-1.61584955,0,2.094395102,-2.094395102
,100,87.21263,,3.74,0.012153622,-0.523609669,61.4432851,-1.567699802,0,2.094395102,-2.094395102
,,,,,,-2.617982984,61.4432851,-1.58584697,0,2.094395102,-2.094395102
,,,,,,1.570615462,61.43333434,-1.614972827,0,2.094395102,-2.094395102
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,OTF,,,,,,,,,,
,NA,Wavelength,a,,,,,,,,
,1.2,480nm,0.3,,,,,,,,
,,,,,,,,,,,
,Parameter estimation,,,,,,,,,,
,Band to shift vector est.,Region to exclude from fit,,,,,,,,,
,1,0.4,,,,,,,,,
,,,,,,,,,,,
,Reconstruction,,,,,,,,,,
,Output,Filter type,APO cut off,APO bend,,,,,,,
,raw values,Wiener 0.05,2,0.9,,,,,,,
