RandomSeed,SNR,NoiseType,MSNR,PSNR,SSIM,SD,FWHM
0,2,Gauss,1.996746576,17.11570443,0.216870591,0.17437,0.41064135
0,2,Poisson,2.057481066,16.08939052,0.40050948,,0
0,2,SaltPepper,2.106853724,15.39677661,0.343507084,,0
0,2,Mix,2.035230398,15.24656843,0.184881218,,0
0,5,Gauss,4.991866439,20.89703878,0.326719499,0.11028,0.2597094
0,5,Poisson,5.142796179,19.57387195,0.544884184,,0
0,5,SaltPepper,5.084882736,19.22324186,0.610237344,,0
0,5,Mix,5.157007217,19.28440858,0.333776491,,0
0,10,Gauss,9.983732878,23.76579846,0.419526459,0.07798,0.1836429
0,10,Poisson,10.30751903,22.45268814,0.667481886,,0
0,10,SaltPepper,10.14024067,22.22091532,0.776723475,,0
0,10,Mix,10.35673618,22.31266229,0.467515729,,0
0,20,Gauss,19.96746576,26.61828129,0.519492273,0.05514,0.1298547
0,20,Poisson,20.70966318,25.42371153,0.778278086,,0
0,20,SaltPepper,20.036026,25.17854874,0.876463673,,0
0,20,Mix,20.58150673,25.29520325,0.603479458,,0
0,50,Gauss,49.91866439,30.34438132,0.657691347,0.03487,0.08211885
0,50,Poisson,51.44049699,29.33695668,0.885086768,,0
0,50,SaltPepper,50.06804276,29.15603895,0.948635352,,0
0,50,Mix,49.80942917,29.13354718,0.761857529,,0
0,100,Gauss,99.83732878,33.1383608,0.757566534,0.02466,0.0580743
0,100,Poisson,103.7149346,32.36249092,0.935105133,,0
0,100,SaltPepper,97.97528839,32.07159671,0.973016417,,0
0,100,Mix,98.81180573,32.10852216,0.853263486,,0
1,2,Gauss,2.005873964,17.13709849,0.217141384,0.17437,0.41064135
1,2,Poisson,2.061510211,16.09609888,0.399962129,,0
1,2,SaltPepper,2.107890844,15.39891392,0.343944692,,0
1,2,Mix,2.042485237,15.2620223,0.185159387,,0
1,5,Gauss,5.014684909,20.9155655,0.327126424,0.11028,0.2597094
1,5,Poisson,5.164825688,19.58464747,0.544971157,,0
1,5,SaltPepper,5.086930275,19.22499021,0.608228392,,0
1,5,Mix,5.138063908,19.26842875,0.333299474,,0
1,10,Gauss,10.02936982,23.78245856,0.420064575,0.07798,0.1836429
1,10,Poisson,10.33469602,22.46147641,0.667608816,,0
1,10,SaltPepper,9.997210503,22.15922189,0.771034788,,0
1,10,Mix,10.31908703,22.29684484,0.46749926,,0
1,20,Gauss,20.05873964,26.63348249,0.520164458,0.05514,0.1298547
1,20,Poisson,20.74531315,25.43351265,0.778628114,,0
1,20,SaltPepper,20.25446129,25.22563959,0.878597682,,0
1,20,Mix,20.66517067,25.31282218,0.604265796,,0
1,50,Gauss,50.14684909,30.35947163,0.658440368,0.03487,0.08211885
1,50,Poisson,51.66017591,29.35351695,0.885271328,,0
1,50,SaltPepper,50.45533371,29.18950187,0.949341375,,0
1,50,Mix,50.83908844,29.22240917,0.762905674,,0
1,100,Gauss,100.2936982,33.15420184,0.758256551,0.02466,0.0580743
1,100,Poisson,103.0801531,32.3323861,0.934917906,,0
1,100,SaltPepper,98.40827942,32.09074934,0.973746312,,0
1,100,Mix,100.5550919,32.18447359,0.854324365,,0
