RandomSeed,SNR,NoiseType,MSNR,PSNR,SSIM,,SD,FWHM
1,2,Gauss,2.005873964,17.13709849,0.217141384,,0.17437,0.41064135
1,2,Poisson,2.061510211,16.09609888,0.399962129,,,0
1,2,SaltPepper,2.107890844,15.39891392,0.343944692,,,0
1,2,Mix,2.042485237,15.2620223,0.185159387,,,0
1,5,Gauss,5.014684909,20.9155655,0.327126424,,0.11028,0.2597094
1,5,Poisson,5.164825688,19.58464747,0.544971157,,,0
1,5,SaltPepper,5.086930275,19.22499021,0.608228392,,,0
1,5,Mix,5.138063908,19.26842875,0.333299474,,,0
1,10,Gauss,10.02936982,23.78245856,0.420064575,,0.07798,0.1836429
1,10,Poisson,10.33469602,22.46147641,0.667608816,,,0
1,10,SaltPepper,9.997210503,22.15922189,0.771034788,,,0
1,10,Mix,10.31908703,22.29684484,0.46749926,,,0
1,20,Gauss,20.05873964,26.63348249,0.520164458,,0.05514,0.1298547
1,20,Poisson,20.74531315,25.43351265,0.778628114,,,0
1,20,SaltPepper,20.25446129,25.22563959,0.878597682,,,0
1,20,Mix,20.66517067,25.31282218,0.604265796,,,0
1,50,Gauss,50.14684909,30.35947163,0.658440368,,0.03487,0.08211885
1,50,Poisson,51.66017591,29.35351695,0.885271328,,,0
1,50,SaltPepper,50.45533371,29.18950187,0.949341375,,,0
1,50,Mix,50.83908844,29.22240917,0.762905674,,,0
1,100,Gauss,100.2936982,33.15420184,0.758256551,,0.02466,0.0580743
1,100,Poisson,103.0801531,32.3323861,0.934917906,,,0
1,100,SaltPepper,98.40827942,32.09074934,0.973746312,,,0
1,100,Mix,100.5550919,32.18447359,0.854324365,,,0
2,2,Gauss,2.000263713,17.12449332,0.217127725,,0.17437,0.41064135
2,2,Poisson,2.066370374,16.09953401,0.400483433,,,0
2,2,SaltPepper,2.109220982,15.40165326,0.344732544,,,0
2,2,Mix,2.040079117,15.2569038,0.184213967,,,0
2,5,Gauss,5.000659282,20.9053727,0.326942341,,0.11028,0.2597094
2,5,Poisson,5.133523664,19.56368446,0.544056573,,,0
2,5,SaltPepper,5.091312885,19.22872915,0.611351113,,,0
2,5,Mix,5.167914867,19.29358553,0.333952114,,,0
2,10,Gauss,10.00131856,23.77276754,0.419695848,,0.07798,0.1836429
2,10,Poisson,10.26476954,22.43164358,0.666742445,,,0
2,10,SaltPepper,10.07867241,22.19446616,0.773838811,,,0
2,10,Mix,10.37604618,22.32075215,0.467413078,,,0
2,20,Gauss,20.00263713,26.62385691,0.519664221,,0.05514,0.1298547
2,20,Poisson,20.65175102,25.41370367,0.778138831,,,0
2,20,SaltPepper,20.13746262,25.20047868,0.877817917,,,0
2,20,Mix,20.48483276,25.27475717,0.603192872,,,0
2,50,Gauss,50.00659282,30.35013527,0.657916941,,0.03487,0.08211885
2,50,Poisson,51.43110655,29.33648151,0.884996046,,,0
2,50,SaltPepper,49.91468048,29.14271623,0.948203695,,,0
2,50,Mix,50.49901962,29.1932625,0.762267016,,,0
2,100,Gauss,100.0131856,33.14482423,0.757765489,,0.02466,0.0580743
2,100,Poisson,103.0838759,32.33806968,0.934983795,,,0
2,100,SaltPepper,102.3801956,32.26259277,0.97447371,,,0
2,100,Mix,100.6654892,32.18923813,0.853833095,,,0
