SNR,NoiseType,Filter,PSNR,SSIM
2,Gaussian,Wiener,25.44242616181971,0.5867686815520798
2,Gaussian,TV,24.128322622230705,0.5601394704445545
2,Gaussian,RL,25.32135141778046,0.5982932481774468
2,Gaussian,BM3D,19.655199686156607,0.37725459375771225
2,Poisson,Wiener,28.749999155524556,0.9044657812431983
2,Poisson,TV,26.38480120962344,0.8932898726630734
2,Poisson,RL,30.404763886454056,0.9247142306746212
2,Poisson,BM3D,22.776575552767444,0.7806555087385129
2,SaltPepper,Wiener,27.552370915090858,0.6484527216319326
2,SaltPepper,TV,24.830185946211806,0.5975804683075016
2,SaltPepper,RL,27.831153609294123,0.6787591532086013
2,SaltPepper,BM3D,20.57014623467516,0.44440670190076925
2,Mix,Wiener,25.799840663273507,0.5927261606564549
2,Mix,TV,23.31517446827928,0.5410290164572829
2,Mix,RL,25.988716516499313,0.6127681205818536
2,Mix,BM3D,19.850841672684943,0.3904988134400039
5,Gaussian,Wiener,29.643118533608217,0.6742496645374596
5,Gaussian,TV,26.83123429223439,0.6369277477155226
5,Gaussian,RL,29.646480188116826,0.6849116131523303
5,Gaussian,BM3D,20.56847949440422,0.4332892234897092
5,Poisson,Wiener,32.52434459668676,0.9486706487768812
5,Poisson,TV,30.247760785651078,0.9355687990788626
5,Poisson,RL,33.44473742138999,0.9551091155182617
5,Poisson,BM3D,27.738690658762778,0.9012227997275333
5,SaltPepper,Wiener,32.36920787709428,0.7881556422546889
5,SaltPepper,TV,26.42437858734099,0.7304635168798317
5,SaltPepper,RL,32.46430750339796,0.8093064043689795
5,SaltPepper,BM3D,21.130995393729272,0.5644023423382889
5,Mix,Wiener,30.64472690540739,0.7072129584741098
5,Mix,TV,26.901507945364905,0.6393009569946215
5,Mix,RL,30.866027516055283,0.7207031234059256
5,Mix,BM3D,20.802719346759872,0.4681688247701813
10,Gaussian,Wiener,32.594321579180125,0.7325173973900072
10,Gaussian,TV,30.18753159568167,0.7133392398871706
10,Gaussian,RL,32.62425253502229,0.7440756854873947
10,Gaussian,BM3D,20.936536600056144,0.47483288090813536
10,Poisson,Wiener,34.99220562089748,0.9658790656826128
10,Poisson,TV,31.16423198742406,0.9494512486689901
10,Poisson,RL,35.13891412938186,0.9697435957032616
10,Poisson,BM3D,28.05205657446007,0.8998265584067128
10,SaltPepper,Wiener,34.09835959410452,0.8711593526176665
10,SaltPepper,TV,29.70551262547165,0.8193264352636167
10,SaltPepper,RL,35.28730576476278,0.8847746813416456
10,SaltPepper,BM3D,23.071470174457552,0.6835743249169025
10,Mix,Wiener,33.81582439016891,0.777363374439044
10,Mix,TV,27.927101653260706,0.726001239357255
10,Mix,RL,33.915912259237764,0.7898128700720768
10,Mix,BM3D,21.08656741226409,0.5208067540531376
20,Gaussian,Wiener,35.84697315459074,0.7833912689038004
20,Gaussian,TV,31.99406830633467,0.7660062140244854
20,Gaussian,RL,35.115255500099494,0.7940372907479094
20,Gaussian,BM3D,21.1429309955838,0.5169860456672107
20,Poisson,Wiener,37.66161530539952,0.9805702473402171
20,Poisson,TV,32.662994996433255,0.9625861946260723
20,Poisson,RL,36.98935628891393,0.9801804115329484
20,Poisson,BM3D,30.413124120640244,0.9280411762604097
20,SaltPepper,Wiener,37.3912261909384,0.923047763310636
20,SaltPepper,TV,30.79654102871627,0.8817942271830213
20,SaltPepper,RL,36.985155254975865,0.9303004407515312
20,SaltPepper,BM3D,23.143818428539664,0.7324346093734088
20,Mix,Wiener,36.75255194504885,0.8373703276351678
20,Mix,TV,29.508712431364586,0.8095645027629369
20,Mix,RL,36.076987993259,0.8452783135362809
20,Mix,BM3D,21.230834650014486,0.5720255397534774
50,Gaussian,Wiener,39.2623760922626,0.8496687599566286
50,Gaussian,TV,35.879270453519595,0.8425626240697972
50,Gaussian,RL,37.64172613557192,0.8513542381095038
50,Gaussian,BM3D,21.277578441347558,0.5747610774600549
50,Poisson,Wiener,40.680840979582975,0.9896942466828509
50,Poisson,TV,35.16150204126751,0.9776127446560476
50,Poisson,RL,38.52881445262753,0.9864776807029948
50,Poisson,BM3D,30.34569747152137,0.926809894714731
50,SaltPepper,Wiener,40.55693078970435,0.9665893266241639
50,SaltPepper,TV,29.49242312014122,0.9485006687817485
50,SaltPepper,RL,38.68166080029605,0.9657492682749174
50,SaltPepper,BM3D,27.98676916091741,0.8823235343217554
50,Mix,Wiener,39.912012209952636,0.905659436434441
50,Mix,TV,32.98711985088277,0.8913737015071835
50,Mix,RL,38.16774344219479,0.9053122907758588
50,Mix,BM3D,23.149790597426595,0.6922675527443454
100,Gaussian,Wiener,41.45670990645497,0.8945889276448376
100,Gaussian,TV,37.460081065096944,0.8880088710924467
100,Gaussian,RL,38.624516984766764,0.8935209063205232
100,Gaussian,BM3D,23.180550933315715,0.679268611631664
100,Poisson,Wiener,43.43076045310802,0.994166053095322
100,Poisson,TV,37.020299168741744,0.9836150542490891
100,Poisson,RL,38.97835953145196,0.9902394454740606
100,Poisson,BM3D,30.28414043034976,0.9263987618912677
100,SaltPepper,Wiener,43.2089526390934,0.9808436228022215
100,SaltPepper,TV,32.370863623800886,0.9724355887513331
100,SaltPepper,RL,39.35575736868906,0.9773884722853696
100,SaltPepper,BM3D,27.99853194103362,0.8888416972670707
100,Mix,Wiener,41.93021681338444,0.9428966986056203
100,Mix,TV,35.10418023531744,0.9317219167631343
100,Mix,RL,38.74132680351953,0.9404505339892828
100,Mix,BM3D,28.081361285155733,0.8483940930944338
