SNR,NoiseType,Filter,PSNR,SSIM
2,Gaussian,Wiener,25.44242616181971,0.5867686815520798
2,Gaussian,TV,24.128322622230705,0.5601394704445545
2,Gaussian,RL,24.02176782633752,0.5094337293675228
2,Gaussian,BM3D,19.655199686156607,0.37725459375771225
2,Poisson,Wiener,28.749999155524556,0.9044657812431983
2,Poisson,TV,26.38480120962344,0.8932898726630734
2,Poisson,RL,16.840806164717023,0.4267876712404791
2,Poisson,BM3D,22.776575552767444,0.7806555087385129
2,SaltPepper,Wiener,27.552370915090858,0.6484527216319326
2,SaltPepper,TV,24.830185946211806,0.5975804683075016
2,SaltPepper,RL,23.799749666584166,0.5099769270681932
2,SaltPepper,BM3D,20.57014623467516,0.44440670190076925
2,Mix,Wiener,25.799840663273507,0.5927261606564549
2,Mix,TV,23.31517446827928,0.5410290164572829
2,Mix,RL,23.316354341922644,0.48404927891315996
2,Mix,BM3D,19.850841672684943,0.3904988134400039
5,Gaussian,Wiener,29.643118533608217,0.6742496645374596
5,Gaussian,TV,26.83123429223439,0.6369277477155226
5,Gaussian,RL,25.8657101904817,0.5117941037509401
5,Gaussian,BM3D,20.56847949440422,0.4332892234897092
5,Poisson,Wiener,32.52434459668676,0.9486706487768812
5,Poisson,TV,30.247760785651078,0.9355687990788626
5,Poisson,RL,20.16514354325338,0.5757678039761995
5,Poisson,BM3D,27.738690658762778,0.9012227997275333
5,SaltPepper,Wiener,32.36920787709428,0.7881556422546889
5,SaltPepper,TV,26.42437858734099,0.7304635168798317
5,SaltPepper,RL,27.761845186061286,0.6925914074626839
5,SaltPepper,BM3D,21.130995393729272,0.5644023423382889
5,Mix,Wiener,30.64472690540739,0.7072129584741098
5,Mix,TV,26.901507945364905,0.6393009569946215
5,Mix,RL,27.034085261094237,0.6028244568513759
5,Mix,BM3D,20.802719346759872,0.4681688247701813
10,Gaussian,Wiener,32.594321579180125,0.7325173973900072
10,Gaussian,TV,30.18753159568167,0.7133392398871706
10,Gaussian,RL,30.44863781525074,0.6624461251964409
10,Gaussian,BM3D,20.936536600056144,0.47483288090813536
10,Poisson,Wiener,34.99220562089748,0.9658790656826128
10,Poisson,TV,31.16423198742406,0.9494512486689901
10,Poisson,RL,22.969070565186673,0.6957547293232607
10,Poisson,BM3D,28.05205657446007,0.8998265584067128
10,SaltPepper,Wiener,34.09835959410452,0.8711593526176665
10,SaltPepper,TV,29.70551262547165,0.8193264352636167
10,SaltPepper,RL,22.588416066065076,0.776648841789644
10,SaltPepper,BM3D,23.071470174457552,0.6835743249169025
10,Mix,Wiener,33.81582439016891,0.777363374439044
10,Mix,TV,27.927101653260706,0.726001239357255
10,Mix,RL,30.207109918921258,0.7128763026700857
10,Mix,BM3D,21.08656741226409,0.5208067540531376
20,Gaussian,Wiener,35.84697315459074,0.7833912689038004
20,Gaussian,TV,31.99406830633467,0.7660062140244854
20,Gaussian,RL,33.344853906613494,0.7401518576662984
20,Gaussian,BM3D,21.1429309955838,0.5169860456672107
20,Poisson,Wiener,37.66161530539952,0.9805702473402171
20,Poisson,TV,32.662994996433255,0.9625861946260723
20,Poisson,RL,25.898137843210357,0.7994453313721477
20,Poisson,BM3D,30.413124120640244,0.9280411762604097
20,SaltPepper,Wiener,37.3912261909384,0.923047763310636
20,SaltPepper,TV,30.79654102871627,0.8817942271830213
20,SaltPepper,RL,25.588945748463743,0.8789258886600588
20,SaltPepper,BM3D,23.143818428539664,0.7324346093734088
20,Mix,Wiener,36.75255194504885,0.8373703276351678
20,Mix,TV,29.508712431364586,0.8095645027629369
20,Mix,RL,33.133372932361375,0.8024539667609079
20,Mix,BM3D,21.230834650014486,0.5720255397534774
50,Gaussian,Wiener,39.2623760922626,0.8496687599566286
50,Gaussian,TV,35.879270453519595,0.8425626240697972
50,Gaussian,RL,30.925913635243912,0.6789175756788943
50,Gaussian,BM3D,21.277578441347558,0.5747610774600549
50,Poisson,Wiener,40.680840979582975,0.9896942466828509
50,Poisson,TV,35.16150204126751,0.9776127446560476
50,Poisson,RL,29.781112914134365,0.8962973677164954
50,Poisson,BM3D,30.34569747152137,0.926809894714731
50,SaltPepper,Wiener,40.55693078970435,0.9665893266241639
50,SaltPepper,TV,29.49242312014122,0.9485006687817485
50,SaltPepper,RL,29.541811508475334,0.9495056225158527
50,SaltPepper,BM3D,27.98676916091741,0.8823235343217554
50,Mix,Wiener,39.912012209952636,0.905659436434441
50,Mix,TV,32.98711985088277,0.8913737015071835
50,Mix,RL,29.627782766428396,0.779369375997836
50,Mix,BM3D,23.149790597426595,0.6922675527443454
100,Gaussian,Wiener,41.45670990645497,0.8945889276448376
100,Gaussian,TV,37.460081065096944,0.8880088710924467
100,Gaussian,RL,33.70741045209675,0.7749864138354619
100,Gaussian,BM3D,23.180550933315715,0.679268611631664
100,Poisson,Wiener,43.43076045310802,0.994166053095322
100,Poisson,TV,37.020299168741744,0.9836150542490891
100,Poisson,RL,32.76152832742528,0.9412028662304563
100,Poisson,BM3D,30.28414043034976,0.9263987618912677
100,SaltPepper,Wiener,43.2089526390934,0.9808436228022215
100,SaltPepper,TV,32.370863623800886,0.9724355887513331
100,SaltPepper,RL,32.449042872764124,0.9735576988028857
100,SaltPepper,BM3D,27.99853194103362,0.8888416972670707
100,Mix,Wiener,41.93021681338444,0.9428966986056203
100,Mix,TV,35.10418023531744,0.9317219167631343
100,Mix,RL,32.579063650550744,0.865143667819903
100,Mix,BM3D,28.081361285155733,0.8483940930944338
