N-blocks,Mean (nm),Std-Dev (nm),Min FRC (nm),Max FRC (nm),SNR,NoiseType,Filter
256,1207.473648313492,744.2898169509244,50.0,2200.0,2,Gaussian,Wiener
256,1133.6116065074139,762.3599209288868,51.162790697674424,2200.0,2,Gaussian,TV
256,1232.0596183351813,775.8277140855284,50.0,2200.0,2,Gaussian,RL
256,1058.270774314838,826.7290594568742,50.0,2200.0,2,Gaussian,BM3D
256,1155.1539533791508,794.3767344323281,50.0,2200.0,2,Poisson,Wiener
256,1140.4890680780995,791.8628324885105,52.38095238095239,2200.0,2,Poisson,TV
256,1245.9432058712487,767.5283333481345,50.0,2200.0,2,Poisson,RL
256,1073.6393348405068,838.576146090882,50.0,2200.0,2,Poisson,BM3D
256,1223.1984747023807,743.1429057482534,50.0,2200.0,2,SaltPepper,Wiener
256,1151.6348749138256,756.8389917051069,50.0,2200.0,2,SaltPepper,TV
256,1251.6046626984128,669.2953789043491,244.44444444444443,2200.0,2,SaltPepper,RL
256,1058.7588931660061,840.5833352468296,50.0,2200.0,2,SaltPepper,BM3D
256,1313.2420161732457,750.6261242646428,50.0,2200.0,2,Mix,Wiener
256,1191.445943511181,793.9102991742694,52.38095238095239,2200.0,2,Mix,TV
256,1323.1851438492065,709.3063336787296,244.44444444444443,2200.0,2,Mix,RL
256,1128.9872828226037,854.1822302397314,50.0,2200.0,2,Mix,BM3D
256,1076.79543108275,825.2915735242407,50.0,2200.0,5,Gaussian,Wiener
256,1123.8658103164062,828.2812183838429,51.162790697674424,2200.0,5,Gaussian,TV
256,1071.4033445075888,829.1774286000089,50.0,2200.0,5,Gaussian,RL
256,1049.8269475285351,844.3897565391285,50.0,2200.0,5,Gaussian,BM3D
256,1090.3640942756738,809.6485898566548,50.0,2200.0,5,Poisson,Wiener
256,1106.73143509208,794.1359216670451,54.99999999999999,2200.0,5,Poisson,TV
256,1075.7578884676036,812.1342414760616,50.0,2200.0,5,Poisson,RL
256,1029.6784763528635,840.3824428216568,50.0,2200.0,5,Poisson,BM3D
256,1125.822224289021,780.4846943519557,50.0,2200.0,5,SaltPepper,Wiener
