SNR,NoiseType,Noisy_PSNR,Noisy_SSIM,Wiener_PSNR,Wiener_SSIM,Wiener_Balance,Wiener_PSF,TV_PSNR,TV_SSIM,TV_Weight,RL_PSNR,RL_SSIM,RL_Iterations,RL_PSF,BM3D_PSNR,BM3D_SSIM,BM3D_Sigma,BM3D_Estimated_Sigma,BM3D_Stage,SD,FWHM,RL_PSF SD,W_PSF SD
2,Gaussian,17.12640146,0.217005988,25.4424268,0.586768688,5,Gaussian 11,24.12832262,0.56013947,0.2,25.3213504,0.598293215,3,Incoherent 480nm,26.45115829,0.622756691,2,0.116304974,HARD_THRESHOLDING,0.17437,0.41064135,3.5,1.833333333
2,Poisson,16.0927447,0.400235804,28.75000004,0.904465763,10,Gaussian 3,26.38480122,0.893289873,0.4,30.40476401,0.924714241,2,Gaussian 17,31.57130246,0.944673831,1,0.116377728,HARD_THRESHOLDING,,0,2.833,0.5
2,SaltPepper,15.39784527,0.343725888,27.55237218,0.648452762,10,Gaussian 9,24.83018594,0.597580465,0.4,27.83115385,0.678759146,3,Gaussian 21,28.47873926,0.811371193,5,0.019461312,HARD_THRESHOLDING,,0,3.5,1.5
2,Mix,15.25429536,0.185020303,25.79984076,0.592726164,10,Incoherent 240nm,23.31517447,0.541029017,0.4,25.98871585,0.612768106,3,Gaussian 21,26.4828941,0.651527199,5,0.107097846,HARD_THRESHOLDING,,0,3.5,2.16
5,Gaussian,20.90630214,0.326922962,29.64311942,0.674249685,5,Incoherent 120nm,26.83123429,0.63692775,0.2,29.6464803,0.684911609,2,Incoherent 360nm,28.67245355,0.744311409,5,0.076740557,HARD_THRESHOLDING,0.11028,0.2597094,2.833,0.5
5,Poisson,19.57925971,0.544927671,32.52434512,0.948670625,5,Gaussian 3,30.24776078,0.9355688,0.2,33.44473737,0.955109129,2,Incoherent 360nm,35.623962,0.974860975,0.6,0.067982316,HARD_THRESHOLDING,,0,2.833,0.5
5,SaltPepper,19.22411604,0.609232868,32.3692086,0.788155679,5,Gaussian 7,26.42437859,0.730463517,0.4,32.46430721,0.809306391,2,Gaussian 17,35.29645709,0.948725481,2,2.61E-07,HARD_THRESHOLDING,,0,2.833,1.16
5,Mix,19.27641867,0.333537982,30.64472819,0.707212998,5,Gaussian 7,26.90150795,0.639300957,0.2,30.86602746,0.72070312,2,Incoherent 360nm,29.39735084,0.848120339,5,0.063923858,HARD_THRESHOLDING,,0,2.166,1.16
10,Gaussian,23.77412851,0.419795517,32.59432253,0.732517417,5,Gaussian 7,30.18753159,0.71333924,0.1,32.62425557,0.744075732,2,Incoherent 360nm,29.80882524,0.863865564,5,0.056174844,HARD_THRESHOLDING,0.07798,0.1836429,2.166,1.16
10,Poisson,22.45708227,0.667545351,34.99220594,0.965879057,2,Gaussian 3,31.16423198,0.94945125,0.1,35.1389142,0.969743587,2,Gaussian 13,39.31864324,0.982382829,0.6,0.046054117,HARD_THRESHOLDING,,0,2.166,0.5
