SNR,NoiseType,Noisy_PSNR,Noisy_SSIM,Wiener_PSNR,Wiener_SSIM,Wiener_Balance,Wiener_PSF,TV_PSNR,TV_SSIM,TV_Weight,RL_PSNR,RL_SSIM,RL_Iterations,RL_PSF,BM3D_PSNR,BM3D_SSIM,BM3D_Sigma,BM3D_Estimated_Sigma,BM3D_Stage,,,SD,FWHM,RL_PSF SD,W_PSF SD
2,Gaussian,13.10718738,0.087573188,15.7982397,0.443275167,20,11,15.53477757,0.41887889,0.4,15.86757652,0.444041455,2,19,14.96117079,0.369679928,2,0.067780922,HARD_THRESHOLDING,,,0.17437,0.41064135,3.5,1.833333333
2,Poisson,12.69880315,0.142994764,14.48263249,0.432157287,10,3,13.67825378,0.476475131,1,14.16223641,0.452452778,1,19,13.8849418,0.467426395,2,0.05087532,HARD_THRESHOLDING,,,,0,2.833,0.5
2,SaltPepper,12.00321212,0.221314764,15.25361203,0.460242126,20,3,14.78309963,0.473721968,0.6,14.93420314,0.473147804,1,19,14.53174258,0.464655827,2,1.78E-35,HARD_THRESHOLDING,,,,0,3.5,1.5
2,Mix,12.74340836,0.097188763,15.27440612,0.427894572,20,11,14.97995789,0.413049105,0.4,15.3258291,0.428034364,2,19,14.58699643,0.383693933,2,0.058227134,HARD_THRESHOLDING,,,,0,3.5,2.16
5,Gaussian,13.10859162,0.141025548,15.48897734,0.478101729,20,7,15.33043348,0.464632744,0.4,15.57438089,0.482301883,2,19,14.72649478,0.426989537,2,0.044816452,HARD_THRESHOLDING,,,0.11028,0.2597094,2.833,0.5
5,Poisson,12.85650676,0.204606613,14.90181751,0.457219281,2,11,13.83889477,0.484356492,1,14.34386625,0.468394907,1,19,14.04039673,0.479432029,2,0.027798792,HARD_THRESHOLDING,,,,0,2.833,0.5
5,SaltPepper,12.46910303,0.315539571,15.09855766,0.469304243,20,3,14.82548011,0.493771862,0.4,14.77949345,0.488560276,1,19,14.41217188,0.487993056,2,1.78E-35,HARD_THRESHOLDING,,,,0,2.833,1.16
5,Mix,12.95746942,0.168921488,15.10803756,0.469459184,20,3,14.97121379,0.466161682,0.4,15.20392903,0.472207867,2,19,14.46332509,0.440281631,2,0.037614416,HARD_THRESHOLDING,,,,0,2.166,1.16
10,Gaussian,13.04595529,0.196345611,15.30275856,0.491773109,20,3,15.2418512,0.477193744,0.4,15.39851534,0.495531273,2,19,14.59107747,0.458283259,2,0.033334797,HARD_THRESHOLDING,,,0.07798,0.1836429,2.166,1.16
10,Poisson,12.88900454,0.26415281,15.0218843,0.470827507,2,11,13.93278833,0.487436721,1,14.61012192,0.475398079,1,15,14.12335394,0.484321558,2,0.021924216,HARD_THRESHOLDING,,,,0,2.166,0.5
10,SaltPepper,12.64055679,0.358195203,15.14952814,0.47307556,10,3,14.73290265,0.497603451,0.4,14.72880056,0.49124424,1,19,14.37542592,0.494180566,2,1.78E-35,HARD_THRESHOLDING,,,,0,2.166,0.5
10,Mix,12.97339879,0.23096919,15.04666409,0.48084183,20,3,15.0013381,0.474749482,0.4,14.92468165,0.484523684,1,15,14.39568442,0.466164727,2,0.027923834,HARD_THRESHOLDING,,,,0,2.166,1.16
20,Gaussian,12.97525155,0.253504013,15.28870618,0.492842577,10,3,14.58741463,0.481641526,0.6,15.05067945,0.498700035,1,15,14.48598046,0.477222273,2,0.024989728,HARD_THRESHOLDING,,,0.05514,0.1298547,2.166,1.16
20,Poisson,12.88870408,0.31741501,15.10017583,0.47823651,2,11,14.00581971,0.489829955,1,14.68043189,0.480261613,1,15,14.17874707,0.487747788,2,0.01712476,HARD_THRESHOLDING,,,,0,2.166,0.5
20,SaltPepper,12.72511692,0.380456336,15.15093349,0.475194943,5,3,14.6796507,0.497766648,0.4,14.69556346,0.490761535,1,19,14.35110059,0.495800112,2,1.78E-35,HARD_THRESHOLDING,,,,0,2.166,0.5
20,Mix,12.94131956,0.284980196,15.10168619,0.482560358,10,3,14.92065073,0.486780419,0.4,14.87731434,0.491035411,1,15,14.34660345,0.479982069,2,0.021059905,HARD_THRESHOLDING,,,,0,2.166,1.16
50,Gaussian,12.90184592,0.315448654,15.22116893,0.488111234,5,3,14.93964083,0.495838854,0.4,14.9488958,0.498432926,1,15,14.39703287,0.488941772,2,0.017455669,HARD_THRESHOLDING,,,0.03487,0.08211885,2.166,0.5
50,Poisson,12.87414576,0.36468628,15.17194476,0.483652116,2,11,14.07902804,0.492333293,1,14.7461033,0.484824223,1,15,14.23079527,0.491060433,2,0.011186045,HARD_THRESHOLDING,,,,0,2.166,0.5
50,SaltPepper,12.78124901,0.396037115,15.30218527,0.483267682,2,11,14.64587754,0.49758994,0.4,14.87051005,0.490614106,1,15,14.34020047,0.496432144,2,1.78E-35,HARD_THRESHOLDING,,,,0,2.166,0.5
