SNR,NoiseType,Filter,PSNR,SSIM
2,Gaussian,Wiener,25.09094600232444,0.677886002756128
2,Gaussian,TV,23.07688249394265,0.6347007090838999
2,Gaussian,RL,24.80518235505248,0.6776823656867423
2,Gaussian,BM3D,20.27392661828761,0.7851713530462948
2,Poisson,Wiener,24.824210849481226,0.8899417059745263
2,Poisson,TV,23.087737417882856,0.9055996342093564
2,Poisson,RL,24.90572961857002,0.8800331854662158
2,Poisson,BM3D,24.53518264789292,0.8284188683161853
2,SaltPepper,Wiener,26.8540971442232,0.7351936491306765
2,SaltPepper,TV,24.660381842996397,0.7047921170928211
2,SaltPepper,RL,26.713760279967214,0.7455062371228358
2,SaltPepper,BM3D,24.210562822838877,0.8705012580171976
2,Mix,Wiener,25.27356407023214,0.6884791253915812
2,Mix,TV,23.226129663866168,0.6464702330160585
2,Mix,RL,25.01956648841462,0.6929125905099633
2,Mix,BM3D,23.577793366927292,0.8135895400499573
5,Gaussian,Wiener,26.58836461359146,0.7446136264396341
5,Gaussian,TV,25.16449424094989,0.705888996549981
5,Gaussian,RL,26.43298632686949,0.7423589923645849
5,Gaussian,BM3D,23.963692466835077,0.8650675723327856
5,Poisson,Wiener,26.24517849720887,0.914960781454106
5,Poisson,TV,24.76312149464684,0.9308060698148242
5,Poisson,RL,26.151918575799545,0.894704085576261
5,Poisson,BM3D,25.675432673182787,0.8416262370623189
5,SaltPepper,Wiener,27.17553753499415,0.8344854704322529
5,SaltPepper,TV,25.19648660480329,0.8216152671109782
5,SaltPepper,RL,27.22856980106335,0.8329553594229961
5,SaltPepper,BM3D,26.260081790903104,0.9004413770547888
5,Mix,Wiener,26.64523581081619,0.7686069544780413
5,Mix,TV,24.54578929228457,0.735536033903385
5,Mix,RL,26.632257473823945,0.766430561964206
5,Mix,BM3D,26.157738652827987,0.8708941163919611
10,Gaussian,Wiener,26.87813830811541,0.7803147370966017
10,Gaussian,TV,25.66511223889727,0.7503194033705911
10,Gaussian,RL,26.86437434945953,0.772274185393343
10,Gaussian,BM3D,26.149115081305546,0.8771664020857572
10,Poisson,Wiener,26.70655352442684,0.9236527705422364
10,Poisson,TV,25.10696912603237,0.938532863990082
10,Poisson,RL,26.53199475360088,0.8991720472156418
10,Poisson,BM3D,25.27264144115276,0.8726519845007696
10,SaltPepper,Wiener,27.237313933513807,0.8817570612563976
10,SaltPepper,TV,25.426155312218373,0.8857001440439858
10,SaltPepper,RL,27.13852034609179,0.8701974709780633
10,SaltPepper,BM3D,26.529661516768886,0.88993109984088
10,Mix,Wiener,26.947781915232305,0.8080583008295246
10,Mix,TV,24.836410957200563,0.7833391110482644
10,Mix,RL,26.883038279372848,0.7958813785100429
10,Mix,BM3D,26.00363224373445,0.8982126537719299
20,Gaussian,Wiener,27.092131950369076,0.8069399557733727
20,Gaussian,TV,25.917341936839264,0.7877732060047571
20,Gaussian,RL,26.962572297956484,0.791833789023102
20,Gaussian,BM3D,25.95198652426598,0.8986660785608049
20,Poisson,Wiener,26.925411829654408,0.9281758121453012
20,Poisson,TV,25.25957636877077,0.9423707583709776
20,Poisson,RL,26.709805418292056,0.901789982395119
20,Poisson,BM3D,25.706021857284448,0.8870753448206962
20,SaltPepper,Wiener,27.21785072314711,0.907567733153842
20,SaltPepper,TV,25.59379094987377,0.9203842063634556
20,SaltPepper,RL,27.038862610765115,0.8888335981286732
20,SaltPepper,BM3D,26.356554696355914,0.8713810283302577
20,Mix,Wiener,27.09552393812862,0.8386778521335476
20,Mix,TV,25.047228990599407,0.8273631247728344
20,Mix,RL,26.925225659327285,0.8193248146903817
20,Mix,BM3D,26.339927653541352,0.8890921445509408
50,Gaussian,Wiener,27.146364313804213,0.8381383184724371
50,Gaussian,TV,26.104426877408272,0.8343705031304811
50,Gaussian,RL,26.934178782786056,0.8163559666027445
50,Gaussian,BM3D,26.305198721863796,0.8876925861870497
50,Poisson,Wiener,27.07204003720844,0.9307223113855604
50,Poisson,TV,25.51726956226165,0.9468229766575996
50,Poisson,RL,26.82848468071225,0.902997220338322
50,Poisson,BM3D,25.791661073395364,0.8884059597886367
50,SaltPepper,Wiener,27.18190306628833,0.923453566191402
50,SaltPepper,TV,25.748639891334804,0.9402817078296766
50,SaltPepper,RL,26.95905651539134,0.8988713322636763
50,SaltPepper,BM3D,25.61555647330734,0.8644495934733772
50,Mix,Wiener,27.117141572873475,0.8754192570914885
50,Mix,TV,25.226590092770103,0.878672744418726
50,Mix,RL,26.89076389450272,0.8510250027603077
50,Mix,BM3D,26.229246890833203,0.8737767739740351
