N-blocks,Mean (nm),Std-Dev (nm),Min FRC (nm),Max FRC (nm),SNR,NoiseType,Filter
256,1108.6046634514973,822.1017769760595,50.0,2200.0,2,Gaussian,Wiener
256,1107.820286156596,824.4847237951875,53.658536585365844,2200.0,2,Gaussian,TV
256,1155.8977141203704,799.4260109930095,50.0,2200.0,2,Gaussian,RL
256,1071.743125262587,830.1263667021345,50.0,2200.0,2,Gaussian,BM3D
256,1143.1900963928897,811.076705408672,50.0,2200.0,2,Poisson,Wiener
256,1129.9287297830388,811.5417082993424,51.162790697674424,2200.0,2,Poisson,TV
256,1137.0921962535012,817.1963414664938,50.0,2200.0,2,Poisson,RL
256,1103.6833835108116,850.5954083740339,50.0,2200.0,2,Poisson,BM3D
256,1176.2948932577838,772.9460750281942,50.0,2200.0,2,SaltPepper,Wiener
256,1151.6348749138256,756.8389917051069,50.0,2200.0,2,SaltPepper,TV
256,1206.990868845113,762.7810793753076,50.0,2200.0,2,SaltPepper,RL
256,1057.2442316122822,841.8169477089598,50.0,2200.0,2,SaltPepper,BM3D
256,1227.2915420684744,801.1964536542415,50.0,2200.0,2,Mix,Wiener
256,1191.445943511181,793.9102991742694,52.38095238095239,2200.0,2,Mix,TV
256,1251.065704242223,777.1438894827055,50.0,2200.0,2,Mix,RL
256,1127.554991155937,854.5369746805966,50.0,2200.0,2,Mix,BM3D
256,1072.5823893417437,841.6115924266057,50.0,2200.0,5,Gaussian,Wiener
256,1123.8658103164062,828.2812183838429,51.162790697674424,2200.0,5,Gaussian,TV
256,1075.5305801057755,840.2285226418661,50.0,2200.0,5,Gaussian,RL
256,1051.6275427666305,843.9759630450118,50.0,2200.0,5,Gaussian,BM3D
256,1070.979214319944,821.4321807984791,50.0,2200.0,5,Poisson,Wiener
256,1054.5616450112507,807.8010239504968,50.0,2200.0,5,Poisson,TV
256,1052.25672024699,817.079436705016,50.0,2200.0,5,Poisson,RL
256,1033.4517907628788,835.9842361195923,50.0,2200.0,5,Poisson,BM3D
256,1090.9845295294976,828.826408509122,50.0,2200.0,5,SaltPepper,Wiener
256,1088.4040163703462,826.168054070345,50.0,2200.0,5,SaltPepper,TV
256,1078.2326861867878,811.5773367130887,50.0,2200.0,5,SaltPepper,RL
256,1086.9570818550833,847.653587077922,50.0,2200.0,5,SaltPepper,BM3D
256,1060.960953226578,825.1232962161303,50.0,2200.0,5,Mix,Wiener
256,1094.2157389970803,833.3042887158749,52.38095238095239,2200.0,5,Mix,TV
256,1056.850152382884,836.5957378640198,50.0,2200.0,5,Mix,RL
256,1064.9804192943811,840.0987296080423,50.0,2200.0,5,Mix,BM3D
256,1104.9132598163746,852.4279771871779,50.0,2200.0,10,Gaussian,Wiener
256,1125.9639537385224,846.0744345630512,51.162790697674424,2200.0,10,Gaussian,TV
256,1088.5589007787637,845.9021044281175,50.0,2200.0,10,Gaussian,RL
256,1077.378602552567,847.5626851120489,50.0,2200.0,10,Gaussian,BM3D
256,1018.2547706582632,809.4538074492436,50.0,2200.0,10,Poisson,Wiener
256,998.6632406923445,795.8061944818046,51.162790697674424,2200.0,10,Poisson,TV
256,1034.6906156994048,823.4609971783254,50.0,2200.0,10,Poisson,RL
256,995.1260587299475,787.7953519791608,50.0,2200.0,10,Poisson,BM3D
256,1111.427941369394,828.1882269684141,50.0,2200.0,10,SaltPepper,Wiener
256,1122.4808749609917,817.3037969896775,50.0,2200.0,10,SaltPepper,TV
256,1128.3803803068652,835.1115088527679,50.0,2200.0,10,SaltPepper,RL
256,1081.7200203252032,833.3220116108577,50.0,2200.0,10,SaltPepper,BM3D
256,1080.8364269040517,824.629999455755,50.0,2200.0,10,Mix,Wiener
256,1071.9413038615842,814.5556979417828,52.38095238095239,2200.0,10,Mix,TV
256,1067.451111369818,826.2244626926358,50.0,2200.0,10,Mix,RL
256,1067.8636358648678,838.7695041634331,50.0,2200.0,10,Mix,BM3D
256,1086.0034554335903,841.8761290750587,50.0,2200.0,20,Gaussian,Wiener
256,1115.9237643862416,849.0640291756187,52.38095238095239,2200.0,20,Gaussian,TV
256,1088.5231456562667,847.430143695142,50.0,2200.0,20,Gaussian,RL
256,1079.93471990926,841.5658305227497,50.0,2200.0,20,Gaussian,BM3D
256,1062.4587905191781,846.9662829970005,50.0,2200.0,20,Poisson,Wiener
256,1087.1740234410754,842.506616602437,50.0,2200.0,20,Poisson,TV
256,1061.9547063094133,843.374933929721,50.0,2200.0,20,Poisson,RL
256,1037.409099634542,832.0199011783152,50.0,2200.0,20,Poisson,BM3D
256,1066.20788186107,820.4392821650243,50.0,2200.0,20,SaltPepper,Wiener
256,1053.403571855772,810.8277953510865,50.0,2200.0,20,SaltPepper,TV
256,1067.3719854557178,830.9009622701016,50.0,2200.0,20,SaltPepper,RL
256,1050.5160337963812,816.665582021623,50.0,2200.0,20,SaltPepper,BM3D
256,1094.0844998111793,841.8577190814028,50.0,2200.0,20,Mix,Wiener
256,1087.4365304979513,844.5932463303545,51.162790697674424,2200.0,20,Mix,TV
256,1099.1109344152694,842.2002648255776,50.0,2200.0,20,Mix,RL
256,1057.2266702507986,821.539653439058,50.0,2200.0,20,Mix,BM3D
256,1073.9529237117554,835.0278782108098,50.0,2200.0,50,Gaussian,Wiener
256,1097.3456939533503,848.6771060103657,52.38095238095239,2200.0,50,Gaussian,TV
256,1085.3996926846994,843.8779017837584,50.0,2200.0,50,Gaussian,RL
256,1078.950643328978,836.9868293329043,50.0,2200.0,50,Gaussian,BM3D
256,995.8827449959597,782.4489626975947,50.0,2200.0,50,Poisson,Wiener
256,998.6729424247845,779.9852633006001,50.0,2200.0,50,Poisson,TV
256,984.5148239954754,792.1186851191812,50.0,2200.0,50,Poisson,RL
256,956.7228661455549,795.0461276666066,50.0,2200.0,50,Poisson,BM3D
256,1049.5276440209868,814.126193634798,50.0,2200.0,50,SaltPepper,Wiener
256,1058.0245397676454,814.0247548938019,50.0,2200.0,50,SaltPepper,TV
256,1058.4613657213038,820.9001218730435,50.0,2200.0,50,SaltPepper,RL
256,1035.2061772486227,790.8775892867267,66.66666666666666,2200.0,50,SaltPepper,BM3D
256,1051.933616670919,827.8066044559329,50.0,2200.0,50,Mix,Wiener
256,1045.3789774930613,819.2657601728769,50.0,2200.0,50,Mix,TV
256,1049.1203958096994,828.4600276946619,50.0,2200.0,50,Mix,RL
256,987.224791414095,804.9620267318171,50.0,2200.0,50,Mix,BM3D
