SNR,NoiseType,Noisy_PSNR,Noisy_SSIM,Wiener_PSNR,Wiener_SSIM,Wiener_Balance,Wiener_PSF,TV_PSNR,TV_SSIM,TV_Weight,RL_PSNR,RL_SSIM,RL_Iterations,RL_PSF,BM3D_PSNR,BM3D_SSIM,BM3D_Sigma,BM3D_Estimated_Sigma,BM3D_Stage
2,Gaussian,16.886072682123732,0.20618491145265047,25.090946002324436,0.677886002756128,20.0,Gaussian 11,23.076882493942655,0.6347007090838999,0.4,24.80518235505248,0.6776823656867423,2,Incoherent 480nm,20.27392661828761,0.7851713530462948,8.0,0.11630497433898089,HARD_THRESHOLDING
2,Poisson,15.615816343215194,0.3735112087923752,24.824210849481226,0.8899417059745263,20.0,Gaussian 3,23.087737417882856,0.9055996342093564,0.6,24.90572961857002,0.8800331854662158,2,Incoherent 480nm,24.535182647892917,0.8284188683161853,2.0,0.1163777284041743,HARD_THRESHOLDING
2,SaltPepper,15.203698309791704,0.3099553200005716,26.854097144223196,0.7351936491306765,20.0,Gaussian 9,24.660381842996394,0.7047921170928211,0.4,26.713760279967218,0.7455062371228358,2,Incoherent 480nm,24.210562822838874,0.8705012580171976,6.0,0.019461311881394827,HARD_THRESHOLDING
2,Mix,15.073829948690442,0.17707015346018884,25.27356407023214,0.6884791253915812,20.0,Gaussian 11,23.226129663866168,0.6464702330160585,0.4,25.01956648841462,0.6929125905099633,2,Incoherent 480nm,23.577793366927295,0.8135895400499573,6.0,0.10709784617189784,HARD_THRESHOLDING
5,Gaussian,20.017024016533096,0.3097654405072847,26.58836461359146,0.7446136264396341,20.0,Gaussian 7,25.164494240949892,0.705888996549981,0.2,26.43298632686949,0.7423589923645849,2,Incoherent 480nm,23.963692466835074,0.8650675723327856,6.0,0.07674055700741918,HARD_THRESHOLDING
5,Poisson,18.66982934109334,0.5024975318943194,26.24517849720887,0.9149607814541061,20.0,Gaussian 3,24.76312149464684,0.9308060698148242,0.4,26.151918575799545,0.894704085576261,2,Incoherent 480nm,25.675432673182787,0.8416262370623189,2.0,0.06798231622344098,HARD_THRESHOLDING
5,SaltPepper,18.551493406047364,0.541751448636007,27.17553753499415,0.8344854704322529,20.0,Gaussian 3,25.19648660480329,0.8216152671109782,0.4,27.22856980106335,0.8329553594229961,2,Incoherent 480nm,26.260081790903104,0.9004413770547888,4.0,2.614348177228211e-07,HARD_THRESHOLDING
5,Mix,18.59887416308964,0.31578714040268663,26.64523581081619,0.7686069544780413,20.0,Gaussian 5,24.545789292284574,0.735536033903385,0.4,26.632257473823945,0.766430561964206,2,Incoherent 480nm,26.157738652827987,0.8708941163919611,4.0,0.06392385785587909,HARD_THRESHOLDING
10,Gaussian,21.98693286997689,0.3954740253060331,26.878138308115414,0.7803147370966017,20.0,Gaussian 3,25.66511223889727,0.7503194033705911,0.2,26.86437434945953,0.772274185393343,2,Incoherent 480nm,26.149115081305546,0.8771664020857572,4.0,0.05617484367924217,HARD_THRESHOLDING
10,Poisson,20.869424472392975,0.608139270646864,26.706553524426837,0.9236527705422364,20.0,Gaussian 3,25.106969126032375,0.9385328639900821,0.4,26.531994753600877,0.8991720472156418,2,Incoherent 480nm,25.272641441152757,0.8726519845007696,0.1,0.046054116801272804,HARD_THRESHOLDING
10,SaltPepper,20.829047163607797,0.6844966033754073,27.237313933513807,0.8817570612563976,20.0,Gaussian 3,25.426155312218373,0.8857001440439858,0.4,27.13852034609179,0.8701974709780633,2,Incoherent 480nm,26.529661516768886,0.88993109984088,2.0,6.502183785305703e-08,HARD_THRESHOLDING
