SNR,NoiseType,Filter,PSNR,SSIM
2,Gaussian,Wiener,25.090944492055968,0.6778859793131131
2,Gaussian,TV,23.07688249286676,0.6347007067726704
2,Gaussian,RL,25.13543796934998,0.672338890336879
2,Gaussian,BM3D,19.995578467222458,0.5042064578232639
2,Poisson,Wiener,24.824208942811705,0.8899417401157009
2,Poisson,TV,23.087737393554583,0.9055996355583813
2,Poisson,RL,25.166361625241358,0.8773354909942308
2,Poisson,BM3D,20.266241492813947,0.7892616755208745
2,SaltPepper,Wiener,26.85409670841657,0.7351936274850237
2,SaltPepper,TV,24.660381845893045,0.7047921179241667
2,SaltPepper,RL,27.05776232643749,0.7333220810104903
2,SaltPepper,BM3D,20.77556842172651,0.5764899687182057
2,Mix,Wiener,25.27356243360952,0.6884791144489342
2,Mix,TV,23.22612966458877,0.6464702307324104
2,Mix,RL,25.346584428401805,0.683165362870107
2,Mix,BM3D,20.033805726552806,0.5180547121947863
5,Gaussian,Wiener,26.588363334021675,0.7446136146591124
5,Gaussian,TV,25.164494239990812,0.7058889998703095
5,Gaussian,RL,26.83481184217638,0.7384621590345477
5,Gaussian,BM3D,20.644959896043993,0.5659390697785706
5,Poisson,Wiener,26.2451773506937,0.914960899783801
5,Poisson,TV,24.763121506357972,0.9308060676952792
5,Poisson,RL,26.44368826269716,0.8972628954528739
5,Poisson,BM3D,20.747062723660576,0.8022201907685592
5,SaltPepper,Wiener,27.175535658626114,0.8344853958533249
5,SaltPepper,TV,25.196486604325266,0.8216152636283347
5,SaltPepper,RL,27.614124930219063,0.8275632322718852
5,SaltPepper,BM3D,21.014296343391944,0.6886692534743212
5,Mix,Wiener,26.64523512173743,0.768606939706705
5,Mix,TV,24.545789292603743,0.7355360315485694
5,Mix,RL,27.02451668344378,0.76157045988494
5,Mix,BM3D,20.741399759799634,0.5992027949574077
10,Gaussian,Wiener,26.878136117913414,0.7803146980453792
10,Gaussian,TV,25.665112237516002,0.750319402342772
10,Gaussian,RL,27.258820297626613,0.7708991791078177
10,Gaussian,BM3D,20.858486278450247,0.605647617560219
10,Poisson,Wiener,26.706551442378142,0.9236528107979205
10,Poisson,TV,25.106969133674927,0.9385328655149319
10,Poisson,RL,26.84722302077187,0.9043039699786958
10,Poisson,BM3D,25.272641441152757,0.8726519845007696
10,SaltPepper,Wiener,27.23731260645268,0.8817569926668775
10,SaltPepper,TV,25.426155312855975,0.8857001453295237
10,SaltPepper,RL,27.51295419218731,0.8687755821875913
10,SaltPepper,BM3D,21.04740973824766,0.753920713614527
10,Mix,Wiener,26.947779719316564,0.8080582408057675
10,Mix,TV,24.836410956269656,0.7833391108057037
10,Mix,RL,27.259688759128608,0.7958546018029172
10,Mix,BM3D,20.901419917898455,0.6465154123598214
20,Gaussian,Wiener,27.092129249906602,0.8069398954782838
20,Gaussian,TV,25.91734193465583,0.7877732044104286
20,Gaussian,RL,27.33467630672108,0.7935036301981628
20,Gaussian,BM3D,20.960729658720204,0.6424812343902662
20,Poisson,Wiener,26.925411167687436,0.9281759373352632
20,Poisson,TV,25.259576367932105,0.9423707585110852
20,Poisson,RL,27.0426489129351,0.9083951892974719
20,Poisson,BM3D,25.706021857284448,0.8870753448206962
20,SaltPepper,Wiener,27.21784905807533,0.9075677564805391
20,SaltPepper,TV,25.593790950358624,0.9203842056742823
20,SaltPepper,RL,27.39777872427573,0.8905942911474953
20,SaltPepper,BM3D,21.046169087601285,0.7868073447029877
20,Mix,Wiener,27.095521836336083,0.8386777321754375
20,Mix,TV,25.04722898861758,0.8273631295907691
20,Mix,RL,27.27866588535354,0.8230253639113039
20,Mix,BM3D,20.978592881797884,0.6902284865160208
50,Gaussian,Wiener,27.146361568306574,0.8381382552830268
50,Gaussian,TV,26.104426879212337,0.8343705019122032
50,Gaussian,RL,27.284496636513246,0.8212355751416682
50,Gaussian,BM3D,21.018224000575497,0.6913905985781654
50,Poisson,Wiener,27.072037690878652,0.930722359504283
50,Poisson,TV,25.517269561567986,0.9468229770390135
50,Poisson,RL,27.166026327746522,0.9105555206118476
50,Poisson,BM3D,25.791661073395364,0.8884059597886367
50,SaltPepper,Wiener,27.18190096556016,0.9234535766800782
50,SaltPepper,TV,25.748639890777632,0.9402817097215828
50,SaltPepper,RL,27.312115801891686,0.9042728228471764
50,SaltPepper,BM3D,25.61555647330734,0.8644495934733772
50,Mix,Wiener,27.117139226517786,0.8754191478330697
50,Mix,TV,25.226590092256437,0.8786727432586896
50,Mix,RL,27.23610798000727,0.8570451151677172
50,Mix,BM3D,21.007532802354408,0.7412832735052144
