Frame,RSP (Resolution Scaled Pearson-Correlation),RSE (Resolution Scaled Error),Overblur warning
1,0.986,0.043,false
2,0.986,0.044,false
3,0.986,0.044,true
4,0.992,0.033,false
5,0.982,0.049,false
6,0.978,0.054,false
7,0.986,0.044,false
8,0.989,0.039,false
9,0.980,0.052,true
10,0.979,0.053,false
11,0.985,0.045,false
12,0.989,0.039,false
13,0.978,0.054,true
14,0.981,0.052,false
15,0.983,0.048,true
16,0.990,0.037,false
17,0.992,0.032,false
18,0.993,0.031,false
19,0.991,0.035,false
20,0.997,0.022,false
21,0.991,0.035,false
22,0.989,0.039,false
23,0.993,0.032,false
24,0.995,0.027,false
25,0.992,0.033,false
26,0.984,0.047,false
27,0.992,0.032,false
28,0.996,0.022,false
29,0.991,0.034,false
30,0.990,0.036,false
31,0.991,0.035,false
32,0.996,0.023,false
33,0.995,0.027,false
34,0.996,0.024,false
35,0.993,0.031,false
36,0.998,0.016,false
37,0.995,0.027,false
38,0.993,0.030,false
39,0.995,0.026,false
40,0.997,0.021,false
41,0.995,0.026,false
42,0.993,0.031,false
43,0.995,0.027,false
44,0.998,0.018,false
45,0.995,0.027,false
46,0.994,0.028,false
47,0.994,0.028,false
48,0.998,0.018,false
49,0.997,0.019,false
50,0.997,0.019,false
51,0.997,0.020,false
52,0.999,0.012,false
53,0.997,0.020,false
54,0.996,0.024,false
55,0.996,0.025,false
56,0.999,0.014,false
57,0.997,0.020,false
58,0.995,0.027,false
59,0.996,0.022,false
60,0.999,0.013,false
61,0.997,0.019,false
62,0.996,0.022,false
63,0.997,0.022,false
64,0.999,0.012,false
65,0.999,0.014,false
66,0.998,0.015,false
67,0.999,0.013,false
68,0.999,0.009,false
69,0.999,0.014,false
70,0.998,0.018,false
71,0.999,0.013,false
72,0.999,0.010,false
73,0.999,0.014,false
74,0.997,0.019,false
75,0.999,0.013,false
76,0.999,0.010,false
77,0.999,0.014,false
78,0.998,0.017,false
79,0.999,0.013,false
80,0.999,0.009,false
81,0.999,0.011,false
82,0.999,0.012,false
83,0.999,0.010,false
84,1.000,0.008,false
85,0.999,0.010,false
86,0.999,0.014,false
87,0.999,0.010,false
88,0.999,0.009,false
89,0.999,0.010,false
90,0.998,0.015,false
91,0.999,0.009,false
92,0.999,0.009,false
93,0.999,0.010,false
94,0.999,0.014,false
95,0.999,0.010,false
96,1.000,0.008,false
