Noise Type,Intensity,Filter,PSNR,SSIM
gaussian_noise,1percent_noise,Noisy,38.296448631992114,0.8497760452164056
gaussian_noise,1percent_noise,wiener,41.70991064885959,0.9067845421420754
gaussian_noise,1percent_noise,tv,38.2963594380441,0.8497669422447746
gaussian_noise,1percent_noise,bm3d,38.30489922149194,0.8501260464423684
gaussian_noise,1percent_noise,rl,41.74545602459389,0.9072461496230673
gaussian_noise,5percent_noise,Noisy,38.04472620657609,0.7963922144647336
gaussian_noise,5percent_noise,wiener,41.0138717275256,0.8401471021182852
gaussian_noise,5percent_noise,tv,38.044657101786264,0.79639058975604
gaussian_noise,5percent_noise,bm3d,38.050566996701995,0.796864685771344
gaussian_noise,5percent_noise,rl,41.04242294445598,0.8405074449139535
gaussian_noise,10percent_noise,Noisy,37.54888928068679,0.6995281761574865
gaussian_noise,10percent_noise,wiener,39.56287136136648,0.7157591871727542
gaussian_noise,10percent_noise,tv,37.54886629483498,0.6995341746966841
gaussian_noise,10percent_noise,bm3d,37.58060937751628,0.7016090149678924
gaussian_noise,10percent_noise,rl,39.579263165245,0.7158943749952793
gaussian_noise,20percent_noise,Noisy,36.35240547606729,0.5079169395393556
gaussian_noise,20percent_noise,wiener,36.658930880153704,0.48420203189015504
gaussian_noise,20percent_noise,tv,36.352428784427886,0.5079273466064366
gaussian_noise,20percent_noise,bm3d,36.369979594395986,0.5089870490000215
gaussian_noise,20percent_noise,rl,36.6594464821124,0.48403846369983494
poisson_noise,1percent_noise,Noisy,38.21823422344453,0.853555335969809
poisson_noise,1percent_noise,wiener,41.413068454195255,0.9077277265100715
poisson_noise,1percent_noise,tv,38.21813972620714,0.8535456294256833
poisson_noise,1percent_noise,bm3d,38.22017564672066,0.853643138376738
poisson_noise,1percent_noise,rl,41.44633534892387,0.9081789389010807
poisson_noise,5percent_noise,Noisy,38.04613064429175,0.8470393247141449
poisson_noise,5percent_noise,wiener,40.7797557979646,0.8923962330538462
poisson_noise,5percent_noise,tv,38.046044057023344,0.847031071834669
poisson_noise,5percent_noise,bm3d,38.04803080851513,0.8471354623054556
poisson_noise,5percent_noise,rl,40.807371341748336,0.8927852801498227
poisson_noise,10percent_noise,Noisy,37.9612915456319,0.8405688876882621
poisson_noise,10percent_noise,wiener,40.320734400256335,0.8769882755760321
poisson_noise,10percent_noise,tv,37.96121859165186,0.8405622534233338
poisson_noise,10percent_noise,bm3d,38.00408778246278,0.8419770477823463
poisson_noise,10percent_noise,rl,40.343523658591295,0.877309621650672
poisson_noise,20percent_noise,Noisy,37.72108045516566,0.8282141974997
poisson_noise,20percent_noise,wiener,37.97410986423323,0.8395783099529286
poisson_noise,20percent_noise,tv,37.721011035650356,0.8282090857342818
poisson_noise,20percent_noise,bm3d,37.75938312593771,0.8294771612855252
poisson_noise,20percent_noise,rl,39.47797372041439,0.8529453659028263
saltpepper_noise,1percent_noise,Noisy,38.24993954465122,0.850505696002505
saltpepper_noise,1percent_noise,wiener,41.45140370845897,0.901735403334005
saltpepper_noise,1percent_noise,tv,38.249851573187904,0.8504977890800773
saltpepper_noise,1percent_noise,bm3d,38.29474961038954,0.8518999816803559
saltpepper_noise,1percent_noise,rl,41.48431819730945,0.9021576073650799
saltpepper_noise,5percent_noise,Noisy,38.030001541642555,0.8288302130126999
saltpepper_noise,5percent_noise,wiener,40.61313458069514,0.8600014026939791
saltpepper_noise,5percent_noise,tv,38.02967465845492,0.8288275659093343
saltpepper_noise,5percent_noise,bm3d,38.07270785003755,0.8313734249605758
saltpepper_noise,5percent_noise,rl,40.637833034479954,0.8602716213864671
saltpepper_noise,10percent_noise,Noisy,37.85513637005719,0.8023464332263182
saltpepper_noise,10percent_noise,wiener,39.935332457905226,0.814346665610934
saltpepper_noise,10percent_noise,tv,37.8549243500203,0.802382401088594
saltpepper_noise,10percent_noise,bm3d,37.892832093280504,0.8053697711973761
saltpepper_noise,10percent_noise,rl,39.953478397941495,0.8144552149039691
saltpepper_noise,20percent_noise,Noisy,37.51545454329987,0.7504091543782694
saltpepper_noise,20percent_noise,wiener,38.7492641374247,0.734676602191332
saltpepper_noise,20percent_noise,tv,37.51543233622639,0.7504799248770989
saltpepper_noise,20percent_noise,bm3d,37.54489674711073,0.7530107713772201
saltpepper_noise,20percent_noise,rl,38.84106077472289,0.7361060733719191
mix_noise,1percent_noise,Noisy,38.27568703552221,0.8535722227384654
mix_noise,1percent_noise,wiener,41.64676003042439,0.9102059965257845
mix_noise,1percent_noise,tv,38.27522273284489,0.8535227462973066
mix_noise,1percent_noise,bm3d,38.27782922109212,0.8536720063787405
mix_noise,1percent_noise,rl,41.6502768256582,0.9102521681094206
mix_noise,5percent_noise,Noisy,38.13901318233539,0.8395797175242692
mix_noise,5percent_noise,wiener,41.26265948951645,0.8911230744776077
mix_noise,5percent_noise,tv,38.138971126946565,0.8395760424111212
mix_noise,5percent_noise,bm3d,38.14093439754329,0.8397158758977168
mix_noise,5percent_noise,rl,41.26297930856396,0.8911274597174207
mix_noise,10percent_noise,Noisy,37.99401149481443,0.8168805513402861
mix_noise,10percent_noise,wiener,40.79946081168768,0.8602192388801828
mix_noise,10percent_noise,tv,37.99397154475278,0.8168786475669512
mix_noise,10percent_noise,bm3d,37.995348319940675,0.8170042662471821
mix_noise,10percent_noise,rl,40.799735626725294,0.8602230563831695
mix_noise,20percent_noise,Noisy,37.658661584596665,0.7568619002980875
mix_noise,20percent_noise,wiener,39.753759134080255,0.7796641439808988
mix_noise,20percent_noise,tv,37.658640301604926,0.7568635804402758
mix_noise,20percent_noise,bm3d,37.659473533346855,0.7569490100158481
mix_noise,20percent_noise,rl,39.75394600075465,0.7796664219048898
